Username,rawTweet,hashtags,mentions,fromUser
jsotsot,@IvanDuque @BArevalodeLeon Haciendo fraking verdad?,,"IvanDuque, BArevalodeLeon",
josejorgemonroy,@chepechapin58 @MaynorEstradaGT @BArevalodeLeon @GuatemalaGob Excellent presidente @BArevalodeLeon poco  a poco van despegando y ver llorar a los fachos es satisfacción.,,"chepechapin58, MaynorEstradaGT, BArevalodeLeon, GuatemalaGob, BArevalodeLeon",
Vertical_dorsal,"@V_de_Vengaza @BArevalodeLeon @FelixSinExcusas Tranquilo se quedó el ""norte dame""preso debería estar basura",,"V_de_Vengaza, BArevalodeLeon, FelixSinExcusas",
BillyC2023,"@ElAnalitico_3 @abner12a @FJimenezmingob @PNCdeGuatemala @mingobguate @DTransitoPNC @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon El analítico expresó su opinión con argumentos muy sólidos! ,,😂🤣

Tiene mayor capacidad de análisis un niño de kinder que tu persona. https://t.co/AuwFZP0nYs",,"ElAnalitico_3, abner12a, FJimenezmingob, PNCdeGuatemala, mingobguate, DTransitoPNC, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
Patrici07680625,@BenitoC67601310 @ElQueNews @GuatemalaGob @BArevalodeLeon 👌👌👌,,"BenitoC67601310, ElQueNews, GuatemalaGob, BArevalodeLeon",
ROBERTR02304443,@Mynor007 @Factor4_GT @BArevalodeLeon https://t.co/GcFHyQerz6,,"Mynor007, Factor4_GT, BArevalodeLeon",
mys_servicios,"@BArevalodeLeon Nayo, pero vos estás haciendo 💩 cualquier buen recuerdo.",,BArevalodeLeon,
ROBERTR02304443,@gtj_uan @Factor4_GT @BArevalodeLeon @muniguate https://t.co/4lAyOjCrC0,,"gtj_uan, Factor4_GT, BArevalodeLeon, muniguate",
ROBERTR02304443,@MarioChiu2 @Factor4_GT @BArevalodeLeon @RQuinonezL @muniguate https://t.co/kzNQJX8IZq,,"MarioChiu2, Factor4_GT, BArevalodeLeon, RQuinonezL, muniguate",
fiona140816,@PEdgar05 @BArevalodeLeon Entonces Padre? Que de golpe de Estado? Ilústreme porfa...,,"PEdgar05, BArevalodeLeon",
ROBERTR02304443,@Factor4_GT @BArevalodeLeon https://t.co/vUe6Rk6rlx,,"Factor4_GT, BArevalodeLeon",
LUISCOR71885428,@BArevalodeLeon Jajajajaja,,BArevalodeLeon,
robertfuentes3,"@IvanDuque @BArevalodeLeon Qué hace un mandatario perdiendo el tiempo con un gordo mk que no dio ni para cuidar el medio ambiente cuando fue presidente?

Esa reunión debe ser igual a la que sostuvo con Biden en la salida del baño.🤡",,"IvanDuque, BArevalodeLeon",
cahevi9hotmail1,"@IvanDuque @BArevalodeLeon No hizo nada a si, robar, mucho menos ahora que no es presidente.",,"IvanDuque, BArevalodeLeon",
LuisGarciaEstr5,@PEdgar05 @BArevalodeLeon Totalmente de acuerdo. No existe el estado de derecho. Si existiera no viéramos lo que vemos hoy. Los grandes corruptos y corruptores pagan y salen libres,,"PEdgar05, BArevalodeLeon",
Johntellez13,@IvanDuque @BArevalodeLeon Todavía se cree presidente. 🙄,,"IvanDuque, BArevalodeLeon",
BillyC2023,"@Erickdelcid77 @MendiaMariela @BArevalodeLeon @DrGiammattei Antes caerá el gobierno del IMPUESTO por el @StateDept, antes que puedan sacar ( Algo imposible gracias a CICIG, @ThelmaAldana y ex semilleros ). Y cuando eso acontezca yo seguiré aquí trabajando y siendo productivo, como DIOS ordena! 

Ya te ví maje! 👇😂🤣 https://t.co/yHAA8LfEIh",,"Erickdelcid77, MendiaMariela, BArevalodeLeon, DrGiammattei, StateDept, ThelmaAldana",
ChiroyElil37424,@PEdgar05 @BArevalodeLeon ESO RECLAMA A LOS CORRUPTOS PORQUE  A LOS INOSENTES LOS ENCARCELAN Y A LOS LADRONES LOS DEJAN LIBRES Y ENTONCES NO BENGAS CON ESOS CUENTOS BARATOS @PEdgar05 CORRUPTO,,"PEdgar05, BArevalodeLeon, PEdgar05",
