Username,rawTweet,hashtags,mentions,fromUser,clean_tweet,emojis_str,emoji_count
karen_sant35047,"@FJimenezmingob @mingobguate @PNCdeGuatemala @DTransitoPNC @_SPGuatemala @GuatemalaGob @BArevalodeLeon @DiariodeCA En serio? con las matansingas que hubieron, de verdad ya ni se le cree nada",,"FJimenezmingob, mingobguate, PNCdeGuatemala, DTransitoPNC, _SPGuatemala, GuatemalaGob, BArevalodeLeon, DiariodeCA",,fjimenezmingob mingobguate pncdeguatemala dtransitopnc spguatemala guatemalagob barevalodeleon diariodeca serio matansingas verdad cree,,0
VictorB37695,"@VicenteCarrera_ @MPguatemala @DiegoEspana_ @lahoragt @UCLCGt @CNCguatemala @GuatemalaGob @FJimenezmingob @mingobguate @BArevalodeLeon PLG... Y esta no es causa suficiente para destituir a la golpista?
El mayor caso de asalto al estado y no hacen nada!!!

#Articulo251
#CarcelParaLosGolpistasGT
#DemocraciaSI","Articulo251, CarcelParaLosGolpistasGT, DemocraciaSI","VicenteCarrera_, MPguatemala, DiegoEspana_, lahoragt, UCLCGt, CNCguatemala, GuatemalaGob, FJimenezmingob, mingobguate, BArevalodeLeon",,vicentecarrera mpguatemala diegoespana lahoragt uclcgt cncguatemala guatemalagob fjimenezmingob mingobguate barevalodeleon plg causa suficiente destituir golpista mayor caso asalto hacen carcelparalosgolpistasgt democraciasi,,0
cbarreno24,"@jczamora @el_Periodico @OJGuatemala @BArevalodeLeon @PrensaComunitar @lahoragt @PlazaPublicaGT @cmendeza @mmendoza_GT @MarielosMonzon @JLFont001 @NoNosCallaranGT Pero esto la Comisión Postuladora no tomó en cuenta. Y qué se esperaría de esta cucaracha si llega a la magistratura? La Postuladora también es una mierda, cayó o son parte del pacto.",,"jczamora, el_Periodico, OJGuatemala, BArevalodeLeon, PrensaComunitar, lahoragt, PlazaPublicaGT, cmendeza, mmendoza_GT, MarielosMonzon, JLFont001, NoNosCallaranGT",,jczamora periodico ojguatemala barevalodeleon prensacomunitar lahoragt plazapublicagt cmendeza mmendoza gt marielosmonzon nonoscallarangt comisión postuladora tomó cuenta esperaría cucaracha si llega magistratura postuladora mierda cayó parte pacto,,0
EliMarios_,"@ergt2020 @BArevalodeLeon Y todavía el net, me llama net a mi 
Jajajaja qué increíble.
Bueno lo que vos digas.",,"ergt2020, BArevalodeLeon",,barevalodeleon todavía net llama net jajajaja increíble bueno vos digas,,0
haroldo_esteban,"@VicenteCarrera_ @Sandra_JovelP @UCLCGt @mingobguate @FJimenezmingob @GuatemalaGob @BArevalodeLeon Algo planea con FCT, estos delincuentes son capaces de llevarse por delante vidas inocentes para culpar al Ministro de Gobernación, estos están acostumbrados a tirar la piedra e incendiar Congreso con tal de culpar y dañar sin medir consecuencias por intereses económicos.",,"VicenteCarrera_, Sandra_JovelP, UCLCGt, mingobguate, FJimenezmingob, GuatemalaGob, BArevalodeLeon",,vicentecarrera sandra jovelp uclcgt mingobguate fjimenezmingob guatemalagob barevalodeleon planea fct delincuentes capaces llevarse delante vidas inocentes culpar ministro gobernación acostumbrados tirar piedra incendiar congreso tal culpar dañar medir consecuencias intereses económicos,,0
byron_argueta5,@FJimenezmingob @mingobguate @PNCdeGuatemala @DTransitoPNC @_SPGuatemala @GuatemalaGob @BArevalodeLeon @DiariodeCA 440 liberados también valiendo V€RGA,,"FJimenezmingob, mingobguate, PNCdeGuatemala, DTransitoPNC, _SPGuatemala, GuatemalaGob, BArevalodeLeon, DiariodeCA",,fjimenezmingob mingobguate pncdeguatemala dtransitopnc spguatemala guatemalagob barevalodeleon diariodeca liberados valiendo v rga,,0
SantaExmin,@EliMarios_ @BArevalodeLeon Y después de leer al net que sólo te insultó aquí… más convencida estoy de haber votado por el. Si a los corruptos les arde… allí es!,,"EliMarios_, BArevalodeLeon",,elimarios barevalodeleon después leer net sólo insultó aquí convencida haber votado si corruptos arde allí,,0
SantaExmin,@ergt2020 @EliMarios_ @BArevalodeLeon Problema tan facil? Si será un ignorante este ve?,,"ergt2020, EliMarios_, BArevalodeLeon",,elimarios barevalodeleon problema tan facil si ignorante ve,,0
champurradaacf,"@FJimenezmingob @mingobguate @PNCdeGuatemala @DTransitoPNC @_SPGuatemala @GuatemalaGob @BArevalodeLeon @DiariodeCA Y lo de huite,zacapa ya no hubo noticias.",,"FJimenezmingob, mingobguate, PNCdeGuatemala, DTransitoPNC, _SPGuatemala, GuatemalaGob, BArevalodeLeon, DiariodeCA",,fjimenezmingob mingobguate pncdeguatemala dtransitopnc spguatemala guatemalagob barevalodeleon diariodeca huite zacapa noticias,,0
SolJacky,@GuatemalaGob @BArevalodeLeon Aun falta mucho camino para lograr cambios en nuestro gobierno. Como profesionales aun nos topamos con no poder aplicar a las plazas ya que estas mismas ya se encuentran destinadas a un favor politico....,,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon aun falta camino lograr cambios gobierno profesionales aun topamos poder aplicar plazas mismas encuentran destinadas favor politico,,0
ECarolina118,"@GuatemalaGob @BArevalodeLeon Si, semejante firmita, solo vino a Guatemala a ponerte en el puesto, pero con la ayuda de Dios, pronto vas a ir para afuera y a lugar donde le corresponde a un FALSIFICADOR DE FIRMAS y LAVADOR DE DINERO",,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon si semejante firmita solo vino guatemala ponerte puesto ayuda dios pronto vas ir afuera lugar corresponde falsificador firmas lavador dinero,,0
MBSG1975,"@GuatemalaGob @BArevalodeLeon Ay Bernardo, vas a pasar a la historia como lo peor, ojalá y hubiera sido sin pena ni gloria como antes de que te impusieran. Tu reputación histórica quedará manchada por siempre! Pena por ti y tu descendencia .",,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon ay bernardo vas pasar historia peor ojalá sido pena gloria impusieran reputación histórica quedará manchada siempre pena descendencia,,0
LeoMarkSal,"@Soygeorgegt La única que nos puede salvar es una oleada de extradiciones. Porque aquí no tenemos quien vele por nosotros. @BArevalodeLeon ya se ve que no moverá un dedo, ni cuando lo lleven en camiseta al bote.",,"Soygeorgegt, BArevalodeLeon",,soygeorgegt única puede salvar oleada extradiciones aquí vele barevalodeleon ve moverá dedo lleven camiseta bote,,0
