Username,rawTweet,hashtags,mentions,fromUser,clean_tweet,emojis_str,emoji_count
AGN_noticias,"El resumen de noticias de la jornada. Conoce sobre la visita del presidente @BArevalodeLeon a Quiché y más.

https://t.co/VPZvjcqQaA",,BArevalodeLeon,,resumen noticias jornada conoce visita presidente barevalodeleon quiché,,0
Sara20400400,@GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT https://t.co/e28YkUsp5P,,"GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",,guatemalagob barevalodeleon magaguatemala maynorestradagt,,0
Rob25535Flores,@VicenteCarrera_ @DrGiammattei @jimmymoralesgt @ottoperezmolina @UCLCGt @BArevalodeLeon Al final todos son la misma mierda,,"VicenteCarrera_, DrGiammattei, jimmymoralesgt, ottoperezmolina, UCLCGt, BArevalodeLeon",,vicentecarrera drgiammattei jimmymoralesgt ottoperezmolina uclcgt barevalodeleon final misma mierda,,0
RonaldM05161013,"@Factor4_GT @BArevalodeLeon Está de moda despertar de letargos sostenidos, verdad???",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon moda despertar letargos sostenidos verdad,,0
VonHacker,@OlsenPsico @BArevalodeLeon Cuidado te atragantas https://t.co/1mWnfGTHm5,,"OlsenPsico, BArevalodeLeon",,olsenpsico barevalodeleon cuidado atragantas,,0
DONARTURO45,"@RafaelCarrerra @BArevalodeLeon Serán sabias "" decisiones  ?? "" sabrían diferenciarlas ??? 🤛 https://t.co/gW6CnnhBYP",,"RafaelCarrerra, BArevalodeLeon",,rafaelcarrerra barevalodeleon sabias decisiones sabrían diferenciarlas,🤛,1
charlesmc_gt,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Pregunta con respuesta:

¿Porqué el @MPguatemala no ha realizado capturas ni se ha pronunciado contra las estructuras B410 denunciado por la @SATGuatemala ?

-- Saben pero se hacen los locos porque su objetivo es y sigue siendo proteger a LOS CORRUPTOS DEL PAÍS!! 🤬",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate, MPguatemala, SATGuatemala",,vadertg barevalodeleon usaidguate congresoguate pregunta respuesta porqué mpguatemala realizado capturas pronunciado estructuras denunciado satguatemala saben hacen locos objetivo sigue siendo proteger corruptos país,🤬,1
TonyBarrera,"@RafaelCarrerra @BArevalodeLeon Típicos idiotas defendiendo lo indefendible. ¿Como es posible que defiendan a los corruptos del pasado?
Lo más denigrante es que lo hacen con argumentos sin valor.
Las grandes críticas del actual presidente. Sus calcetines,su pasión por el fútbol,fumar,comer carne. Pena ajena!!!!",,"RafaelCarrerra, BArevalodeLeon",,rafaelcarrerra barevalodeleon típicos idiotas defendiendo indefendible posible defiendan corruptos pasado denigrante hacen argumentos valor grandes críticas actual presidente calcetines pasión fútbol fumar comer carne pena ajena,,0
gbau70,@BArevalodeLeon Como para cuando va a ser algo como su papá 🤔 porque a como vamos primero lo van a sacar del guacamolon,,BArevalodeLeon,,barevalodeleon va ser papá vamos primero van sacar guacamolon,🤔,1
MarxChelitaViNa,@romeoruiz__ @FJimenezmingob @BArevalodeLeon XD,,"romeoruiz__, FJimenezmingob, BArevalodeLeon",,romeoruiz fjimenezmingob barevalodeleon xd,,0
LordMarduk2,"@PEdgar05 @BArevalodeLeon @BArevalodeLeon  Don Nayo te hablan, no te hagas el desentendido..",,"PEdgar05, BArevalodeLeon, BArevalodeLeon",,barevalodeleon barevalodeleon don nayo hablan hagas desentendido,,0
jcarlos223020,@GuatemalaGob @BArevalodeLeon Y los mareros para cuando https://t.co/UqxSDEi5oo,,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon mareros,,0
Butter_crypto,@J_AlexValdez Señor @BArevalodeLeon es momento de deportarlos a #Rusia.,Rusia,"J_AlexValdez, BArevalodeLeon",,j alexvaldez señor barevalodeleon momento deportarlos rusia,,0
ElizabethVelsqu,"@BArevalodeLeon Lujo el suyo Sr. Presidente!! Que dicha de ejemplo y formación la que usted recibió.  Siempre estará su papá presente en la mente de las diferentes generaciones guatemaltecas. Honrar su memoria y rescatar su obra, es tarea de todos! Un honor para nosotros hacerlo!",,BArevalodeLeon,,barevalodeleon lujo sr presidente dicha ejemplo formación usted recibió siempre papá presente mente diferentes generaciones guatemaltecas honrar memoria rescatar obra tarea honor hacerlo,,0
TeVoyAFunarGT,"El @Ejercito_GT de rindiendo honores a @BArevalodeLeon con atacar al pueblo de Guatemala, tranquilos soldados que se puede saber  todo de la cúpula militares y sus asquerosidades en sus filas  pedazos de MIERD@S https://t.co/G0ZR6kl8jH",,"Ejercito_GT, BArevalodeLeon",festivalesgt,ejercito gt rindiendo honores barevalodeleon atacar pueblo guatemala tranquilos soldados puede saber cúpula militares asquerosidades filas pedazos mierd s,,0
EdwinQuetzalito,@GuatemalaGob @BArevalodeLeon Me presi usted si lo fuma verde,,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon presi usted si fuma verde,,0
RafaelDelAguil8,"@PrensaComunitar No se puede ni debe decir, o pensar, que el @GuatemalaGob de @BArevalodeLeon está actuando igual que @jimmymoralesgt y @DrGiammattei , que  sí protegieron a esa familia rusa mafiosa.
Es el sistema judicial fallido el que ahora les sirve de alfombra.
@CC_Guatemala 
@Igor_Bitkov .",,"PrensaComunitar, GuatemalaGob, BArevalodeLeon, jimmymoralesgt, DrGiammattei, CC_Guatemala, Igor_Bitkov",,prensacomunitar puede debe decir pensar guatemalagob barevalodeleon actuando igual jimmymoralesgt drgiammattei protegieron familia rusa mafiosa sistema judicial fallido ahora sirve alfombra cc guatemala igor bitkov,,0
lepa_oliver,"@Factor4_GT @BArevalodeLeon Por que no mejor colabora MICIVI en darle mantenimiento a esos espacios para que la escuela funcione mejor, de vez de arrancarsela a los estudiantes?",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon mejor colabora micivi darle mantenimiento espacios escuela funcione mejor vez arrancarsela estudiantes,,0
chomoelias2,@Factor4_GT @BArevalodeLeon ahora Felix Alvarado se convirtio en un villano o que? Como que va a dejar a los estudiantes sin sede¿?,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon ahora felix alvarado convirtio villano va dejar estudiantes sede,,0
PrensaComunitar,"#ElEstor 🧵2⃣  Tres pescadores resultaron heridos 

➡️ Las autoridades ancestrales de Chapín Abajo exigen que los militares implicados en estos hechos sean detenidos y puestos a disposición de la justicia y que el destacamento sea retirado del lugar, ya que “únicamente ponen en riesgo la vida de las personas”.

➡️ Los heridos fueron trasladados al Centro de Salud en el centro de El Estor, a 18 kilómetros de distancia de Chapín Abajo.

Fotos de las autoridades de la comunidad
Con información de Juan Bautista Xol",ElEstor,,,elestor tres pescadores resultaron heridos autoridades ancestrales chapín abajo exigen militares implicados hechos detenidos puestos disposición justicia destacamento retirado lugar únicamente ponen riesgo vida personas heridos trasladados centro salud centro estor kilómetros distancia chapín abajo fotos autoridades comunidad información juan bautista xol,🧵 2⃣ ➡️ ➡️,4
leticia_hub,"@Factor4_GT @BArevalodeLeon No es buena idea mover a los estudiantes de arte de su sede que ha sido por mas de 20 años, Felix Alvarado puede usar otros espacios para lo que desee hacer con ellos",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon buena idea mover estudiantes arte sede sido mas años felix alvarado puede usar espacios desee hacer,,0
Esperan56991069,"@UbaldoMacu @santipalomov @BArevalodeLeon Bola de sebo más mula, un net center por hablar de la violencia en el país? Mononeural sos, la mediocridad andando, arrastrada a la que le pagan por post, una vergüenza total a esta gente contratan @GuatemalaGob @BArevalodeLeon ???",,"UbaldoMacu, santipalomov, BArevalodeLeon, GuatemalaGob, BArevalodeLeon",,ubaldomacu santipalomov barevalodeleon bola sebo mula net center hablar violencia país mononeural sos mediocridad andando arrastrada pagan post vergüenza total gente contratan guatemalagob barevalodeleon,,0
SEDEM_GT,Este es un hecho gravísimo señor presidente @BArevalodeLeon. Comoncomandante general del @Ejercito_GT le corresponde aplicar los correctivos y entregar a la justicia a los perpetradores.,,"BArevalodeLeon, Ejercito_GT",PrensaComunitar,hecho gravísimo señor presidente barevalodeleon comoncomandante general ejercito gt corresponde aplicar correctivos entregar justicia perpetradores,,0
MaynorEstradaGT,"Tuve el honor junto al presidente de la República @BArevalodeLeon de llevar alimentos a comunidades que más lo necesitan. 

Sé que queda mucho por hacer y seguiremos trabajando con el @GuatemalaGob para garantizar el bienestar de las y los guatemaltecos. https://t.co/KM40DC7BDt",,"BArevalodeLeon, GuatemalaGob",,honor junto presidente república barevalodeleon llevar alimentos comunidades necesitan sé queda hacer seguiremos trabajando guatemalagob garantizar bienestar guatemaltecos,,0
carmencantl,@Factor4_GT @BArevalodeLeon No estoy de acuerdo que los estudiantes se queden sin su sede por un simple capricho de Felox Alvarado,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon acuerdo estudiantes queden sede simple capricho felox alvarado,,0
ropalmac,"@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Dijo Vicente Fernández “Que de raro tiene”
Que se puede esperar de la semilla del mal … Guatemala 🇬🇹 despierta de este engaño",,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon dijo vicente fernández raro puede esperar semilla mal guatemala despierta engaño,🇬🇹,1
CarlosPere29908,"@OP_OcultoMejor @PrensaComunitar @BArevalodeLeon Sos imbécil, confundis el cebo con la manteca",,"OP_OcultoMejor, PrensaComunitar, BArevalodeLeon",,op ocultomejor prensacomunitar barevalodeleon sos imbécil confundis cebo manteca,,0
Julio86377099,"@PEdgar05 @BArevalodeLeon Cuántas mujeres y padres encarcelados injustamente, y usted sale a aprovecharse de ése dolor y sufrimiento para atacar al que no hace lo que usted quiere que haga, qué buen cristiano resultó.",,"PEdgar05, BArevalodeLeon",,barevalodeleon cuántas mujeres padres encarcelados injustamente usted sale aprovecharse ése dolor sufrimiento atacar hace usted quiere haga buen cristiano resultó,,0
MARTIN_SONTAY,"@lufernando09 @Factor4_GT @BArevalodeLeon Tambien el MICIVI cuenta con los recursos para hacer un edificio para sus oficinas, aquí no se trata de politica, sino que los estudiantes no se queden en la calle",,"lufernando09, Factor4_GT, BArevalodeLeon",,gt barevalodeleon tambien micivi cuenta recursos hacer edificio oficinas aquí trata politica sino estudiantes queden calle,,0
odiaz1658,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 sienten que no les alcanza lo que se se van a desaparecer,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon sienten alcanza van desaparecer,,0
SaMeMerz68789,@GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT Todo ese dinero se lo robo Miguel Martinez y Giamattei,,"GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",,guatemalagob barevalodeleon magaguatemala maynorestradagt dinero robo miguel martinez giamattei,,0
armando_siquic,"@Factor4_GT @BArevalodeLeon Felix Alvarado ya esta que no puede con la autopista Palin y ahora quiere recuperar un palacio que es usado por los estudiantes de artes, es INJUSTO",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon felix alvarado puede autopista palin ahora quiere recuperar palacio usado estudiantes artes injusto,,0
Erwin15,"@RafaelCarrerra @BArevalodeLeon Segui defendiendo a tu casero, el guicoy de Guiammatei @RafaelCarrerra",,"RafaelCarrerra, BArevalodeLeon, RafaelCarrerra",,rafaelcarrerra barevalodeleon segui defendiendo casero guicoy guiammatei rafaelcarrerra,,0
donaldoalvr,@fundamyrnamack Una de las estafas mas grandes del discurso de la izquierda que ha sido cuna de parasitos es especial la lucrecia que robo a manos llenas con jimmy morales @fundamyrnamack @BArevalodeLeon,,"fundamyrnamack, fundamyrnamack, BArevalodeLeon",,fundamyrnamack estafas mas grandes discurso izquierda sido cuna parasitos especial lucrecia robo manos llenas jimmy morales fundamyrnamack barevalodeleon,,0
duckg502,"@GuatemalaGob @BArevalodeLeon Se deberían de racionar las hartazones que se dan en el palacio y casa presindencial, sino mírele la timba al presidente",,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon deberían racionar hartazones dan palacio casa presindencial sino mírele timba presidente,,0
BENJAMINGABAC,@Factor4_GT @BArevalodeLeon MICIVI que se ocupe en recuperar las vialidades que tiene toda destruidas y deje a los estudiantes en paz,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon micivi ocupe recuperar vialidades toda destruidas deje estudiantes paz,,0
carolyfofo,@PEdgar05 @BArevalodeLeon Totalmente de acuerdo,,"PEdgar05, BArevalodeLeon",,barevalodeleon totalmente acuerdo,,0
rafaelxicol,@Factor4_GT @BArevalodeLeon Felix Alvarado no tiene nada que hacer con esos espacios porque desde hace 20 años lo tiene la escuela de artes,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon felix alvarado hacer espacios hace años escuela artes,,0
xe_maximiliano,"@Factor4_GT @BArevalodeLeon Que injusticia esta cometiendo Felix Alvarado con esos estudiantes, se sabe que por mas de 20 años han usado esos espacios, que lo sigan usando señores",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon injusticia cometiendo felix alvarado estudiantes sabe mas años usado espacios sigan usando señores,,0
RUBENIHOR,"@Factor4_GT @BArevalodeLeon No entiendo cuando esto se convirtio politico, al pueblo no le interesa la disputa entre Quiñonez y Alvarado, solo le interesa que los estudiantes sigan aprendiendo en esa sede",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon entiendo convirtio politico pueblo interesa disputa quiñonez alvarado solo interesa estudiantes sigan aprendiendo sede,,0
cantimanuel1,"@Factor4_GT @BArevalodeLeon el palacio de correos ha sido un espacio cultural por mas de 20 años, con tantos edificios que hay y MICIVI se va a antojar de ese",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon palacio correos sido espacio cultural mas años tantos edificios micivi va antojar,,0
Erwin15,"@Nelton_Rivera @CC_Guatemala Saquen a los @Igor_Bitkov señores del @MinexGt solo hablando mal y ofendiendo a @BArevalodeLeon y a @BancadaSemilla se la pasan, sera que pueden estar financiando a golpistas??? @mae_rusia @usembassyguate",,"Nelton_Rivera, CC_Guatemala, Igor_Bitkov, MinexGt, BArevalodeLeon, BancadaSemilla, mae_rusia, usembassyguate",,nelton rivera cc guatemala saquen igor bitkov señores minexgt solo hablando mal ofendiendo barevalodeleon bancadasemilla pasan sera pueden financiando golpistas mae rusia usembassyguate,,0
VICTORIAPSAY,"@Factor4_GT @BArevalodeLeon la sede de la escuela de artes siempre ha sido el palacio de correos, por que buscan hacer un cambio en eso?",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon sede escuela artes siempre sido palacio correos buscan hacer cambio,,0
cohuoj_elena,@Factor4_GT @BArevalodeLeon el edificio de correos ya se convirtio en una escuela de arte y asi debe permanecer señores,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon edificio correos convirtio escuela arte asi debe permanecer señores,,0
jotaele_87,Entonces? @BArevalodeLeon 🤔🙄,,BArevalodeLeon,XelaNewsGt,entonces barevalodeleon,🤔 🙄,2
TristeMico,@FJimenezmingob @PNCdeGuatemala @GuatemalaGob @BArevalodeLeon @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW Un 100 para la administración del señor Jimenez al frente del MINGOB.,,"FJimenezmingob, PNCdeGuatemala, GuatemalaGob, BArevalodeLeon, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW",,fjimenezmingob pncdeguatemala guatemalagob barevalodeleon spguatemala diariodeca agn noticias radio tgw administración señor jimenez frente mingob,,0
odiaz1658,@NenucosM81863 @BArevalodeLeon @mingobguate Exelente 💯👏,,"NenucosM81863, BArevalodeLeon, mingobguate",,barevalodeleon mingobguate exelente,💯 👏,2
Kimm_2412,@VicenteCarrera_ @DrGiammattei @jimmymoralesgt @ottoperezmolina @UCLCGt @BArevalodeLeon Uyyyyyy que logro!,,"VicenteCarrera_, DrGiammattei, jimmymoralesgt, ottoperezmolina, UCLCGt, BArevalodeLeon",,vicentecarrera drgiammattei jimmymoralesgt ottoperezmolina uclcgt barevalodeleon uyyyyyy logro,,0
duexnu,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Asquerosos pero para aumentarse a 100 mil cada diputado no importanba de donde salieran los fondos,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon asquerosos aumentarse mil cada diputado importanba salieran fondos,,0
ghusriios,@soy_502 48 horas pueden tomar las horas que quieran ya que el nuestro presidente @BArevalodeLeon  y el ministro de comunicaciones @FelixSinExcusas ya tomaron una decisión y ustedes mejor pidan buenas instalaciones al alcalde quiñonez,,"soy_502, BArevalodeLeon, FelixSinExcusas",,horas pueden tomar horas quieran presidente barevalodeleon ministro comunicaciones felixsinexcusas tomaron decisión ustedes mejor pidan buenas instalaciones alcalde quiñonez,,0
vivalatinenja,"@FJimenezmingob @GuatemalaGob @mingobguate @_SPGuatemala @DTransitoPNC @DiariodeCA @AGN_noticias @Radio_TGW @BArevalodeLeon ＃未成年者略取誘拐罪

駐日グアテマラ大使館、領事館員は日本から撤退しろ！グアテマラ国籍の外人に子どもを拉致された。

国際条約を守らないグアテマラは国連から脱退しろ！

日本から拉致された子どもを、日本の父親及びその家族に子どもを返還しろ！

拉致容認の大使館職員は日本から出ていけ！",未成年者略取誘拐罪,"FJimenezmingob, GuatemalaGob, mingobguate, _SPGuatemala, DTransitoPNC, DiariodeCA, AGN_noticias, Radio_TGW, BArevalodeLeon",,fjimenezmingob guatemalagob mingobguate spguatemala dtransitopnc diariodeca agn noticias radio tgw barevalodeleon,,0
jfpernillo24,"¿Qué reacción tendrá el comandante general del @Ejercito_GT, @BArevalodeLeon, ante el hostigamiento y la defensa de los palmeros por parte de su tropa?",,"Ejercito_GT, BArevalodeLeon",PrensaComunitar,reacción comandante general ejercito gt barevalodeleon hostigamiento defensa palmeros parte tropa,,0
Oscar2775763497,@julius1818 @NenucosM81863 @BArevalodeLeon @mingobguate @fabiolasinger Ya que en Guatemala hay apoyo pero solo para hueviar,,"julius1818, NenucosM81863, BArevalodeLeon, mingobguate, fabiolasinger",,barevalodeleon mingobguate fabiolasinger guatemala apoyo solo hueviar,,0
alterlego502,Ojo con esto @BArevalodeLeon,,BArevalodeLeon,vozdeltuit,ojo barevalodeleon,,0
romeoruiz__,"Se tronaron a un amigo de primaria a básicos.

Gracias @FJimenezmingob y @BArevalodeLeon. Se están cagando en la seguridad del país 👍🏻",,"FJimenezmingob, BArevalodeLeon",,tronaron amigo primaria básicos gracias fjimenezmingob barevalodeleon cagando seguridad país,👍🏻,1
Oscar2775763497,@NenucosM81863 @BArevalodeLeon @mingobguate A veces suben muchos a cantar el himno que es cortó pero con notas altas y bajas ella me representa hermoso y mucho respeto gracias,,"NenucosM81863, BArevalodeLeon, mingobguate",,barevalodeleon mingobguate veces suben cantar himno cortó notas altas bajas representa hermoso respeto gracias,,0
TerisaAdams,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Cuando van a dignificar a los jubilados del IGSS?,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon van dignificar jubilados igss,,0
MarioChiu2,"@NenucosM81863 @volker_turk @UEGuatemala @soyfdelrincon @StateDept @WHAAsstSecty @BArevalodeLeon Otros delincuentes con toga?

Increíble que se rtomen en cuenta tipejos no idóneos, sin solvencia moral ni ética.

Solo en Guatemala tenemos delincuentes en el OJ.

La @CC_Guatemala el @OJGuatemala y el @MPguatemala NO TIENEN NINGUNA CREDIBILIDAD.

Son parte del sistema corrupto.",,"NenucosM81863, volker_turk, UEGuatemala, soyfdelrincon, StateDept, WHAAsstSecty, BArevalodeLeon, CC_Guatemala, OJGuatemala, MPguatemala",,volker turk ueguatemala soyfdelrincon statedept whaasstsecty barevalodeleon delincuentes toga increíble rtomen cuenta tipejos idóneos solvencia moral ética solo guatemala delincuentes oj cc guatemala ojguatemala mpguatemala ninguna credibilidad parte sistema corrupto,,0
3triatlon,"@Factor4_GT @BArevalodeLeon Vayan a la muni, el correo es de todos",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon vayan muni correo,,0
edwadriperez,"@CanalAntigua @BArevalodeLeon @arbencista1944 @mmendoza_GT @JLFont001 @Fiscalnvicto @Alex_balsells @Almagro_OEA2015 Debe pedirse informe a @CGCGuatemala sobre sueldos ilegales que MuniGuate pagó a Patricia Escobar, nana de @AlvaroArzuE entiéndase, gangster, golpista, cholero del Pacto Corrupto",,"CanalAntigua, BArevalodeLeon, arbencista1944, mmendoza_GT, JLFont001, Fiscalnvicto, Alex_balsells, Almagro_OEA2015, CGCGuatemala, AlvaroArzuE",,canalantigua barevalodeleon mmendoza gt fiscalnvicto alex balsells almagro debe pedirse informe cgcguatemala sueldos ilegales muniguate pagó patricia escobar nana alvaroarzue entiéndase gangster golpista cholero pacto corrupto,,0
Giovann45497851,"@GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT Gratis no hay nada, dejen de vender humo",,"GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",,guatemalagob barevalodeleon magaguatemala maynorestradagt gratis dejen vender humo,,0
liccris86,@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Todos los micrófonos y sistema de audio del OJ también tiene la calcomania de USAID,,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",,vadertg barevalodeleon usaidguate congresoguate micrófonos sistema audio oj calcomania usaid,,0
KelandraP,Una maestra me dijo que @BArevalodeLeon quería privatizar la educación y no supe que contestar por que YO QUE PUTAS SE 🤣,,BArevalodeLeon,,maestra dijo barevalodeleon quería privatizar educación supe contestar putas,🤣,1
pollosdb,@santipalomov ¿aclararan esto? o ¿se callarán al igual que el desalojo frustrado con 500 @PNCdeGuatemala que era ilegal? Todo en izabal... @FJimenezmingob @mingobguate @BArevalodeLeon @KarinHerreraVP,,"santipalomov, PNCdeGuatemala, FJimenezmingob, mingobguate, BArevalodeLeon, KarinHerreraVP",PrensaComunitar,santipalomov aclararan callarán igual desalojo frustrado pncdeguatemala ilegal izabal fjimenezmingob mingobguate barevalodeleon karinherreravp,,0
randolfoenriqu3,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 A los Netcenter no se les responde!,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon netcenter responde,,0
randolfoenriqu3,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 .,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon,,0
VictorKonkova,@mmendoza_GT Ya los queremos aquí.. 🇬🇹.. los necesitamos... @BArevalodeLeon,,"mmendoza_GT, BArevalodeLeon",,mmendoza gt queremos aquí necesitamos barevalodeleon,🇬🇹,1
pollosdb,"@PrensaComunitar como sucedió en El Estor, estado independiente de Izabal, donde ni el @mingobguate , ni @Ejercito_GT , mucho menos @BArevalodeLeon tienen autoridad... nada pasará. Sigue siendo tierra de nadie, mejor dicho tierra de finqueros, mineras y palmeros. ¿verdad @uvggt ? @UVGAltiplano",,"PrensaComunitar, mingobguate, Ejercito_GT, BArevalodeLeon, uvggt, UVGAltiplano",,prensacomunitar sucedió estor independiente izabal mingobguate ejercito gt menos barevalodeleon autoridad pasará sigue siendo tierra nadie mejor dicho tierra finqueros mineras palmeros verdad uvggt uvgaltiplano,,0
MxGodnez,"@MendiaMariela @BArevalodeLeon JAJAJA, ESO SOLO USTED SE LO CREE",,"MendiaMariela, BArevalodeLeon",,mendiamariela barevalodeleon jajaja solo usted cree,,0
ferlira8,@Factor4_GT @BArevalodeLeon El ministerio de cultura y deportes debe de intervenir.,,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon ministerio cultura deportes debe intervenir,,0
SW_JRH96,@leraovalle @GxlDeDibu @Perico8461 @JLFont001 @concriteriogt @BArevalodeLeon @KarinHerreraVP @karinapazGt @BancadaSemilla @samuel_pz Es valioso ver el error y reflexionar. Eso ayuda a mejorar. Ánimo compañero!,,"leraovalle, GxlDeDibu, Perico8461, JLFont001, concriteriogt, BArevalodeLeon, KarinHerreraVP, karinapazGt, BancadaSemilla, samuel_pz",,leraovalle gxldedibu concriteriogt barevalodeleon karinherreravp karinapazgt bancadasemilla samuel pz valioso ver error reflexionar ayuda mejorar ánimo compañero,,0
RonaldM05161013,@FJimenezmingob @PNCdeGuatemala @GuatemalaGob @BArevalodeLeon @_SPGuatemala @DiariodeCA @AGN_noticias @Radio_TGW Excelente trabajo!!!,,"FJimenezmingob, PNCdeGuatemala, GuatemalaGob, BArevalodeLeon, _SPGuatemala, DiariodeCA, AGN_noticias, Radio_TGW",,fjimenezmingob pncdeguatemala guatemalagob barevalodeleon spguatemala diariodeca agn noticias radio tgw excelente trabajo,,0
Pianode2teclas,@Rick_sanchiez @FJimenezmingob @BArevalodeLeon No es como que antes fuera diferente pero entiendo el punto,,"Rick_sanchiez, FJimenezmingob, BArevalodeLeon",,rick sanchiez fjimenezmingob barevalodeleon diferente entiendo punto,,0
SW_JRH96,"@leraovalle @Perico8461 @JLFont001 @concriteriogt @BArevalodeLeon @KarinHerreraVP @karinapazGt @BancadaSemilla @samuel_pz El gordo cree que sigue en campaña. Todo es culpa del gobierno anterior, todo es culpa de los golpistas. Nada es culpa “de los nuevos” a pesar que ya llevan casi 1 año gobernando.",,"leraovalle, Perico8461, JLFont001, concriteriogt, BArevalodeLeon, KarinHerreraVP, karinapazGt, BancadaSemilla, samuel_pz",,leraovalle concriteriogt barevalodeleon karinherreravp karinapazgt bancadasemilla samuel pz gordo cree sigue campaña culpa gobierno anterior culpa golpistas culpa nuevos pesar llevan casi año gobernando,,0
AmiHernandez15,@BArevalodeLeon @KarinHerreraVP https://t.co/eNHj6spkBz,,"BArevalodeLeon, KarinHerreraVP",BernardoCaal2,barevalodeleon karinherreravp,,0
BernardoCaal2,"Al parecer la ley de aguas que se está impulsando en estos días, gira alrededor de quienes aparecen en este afiche. 
Atento pueblo, atento hacia donde quieren direccionar la ley de aguas.  
Con 60 personas van a hacer diálogos en las regiones. Los pueblos indígenas excluidos. https://t.co/CTiJL7Auna",,,,parecer ley aguas impulsando días gira alrededor aparecen afiche atento pueblo atento hacia quieren direccionar ley aguas personas van hacer diálogos regiones pueblos indígenas excluidos,,0
Teamocory3,"@nydiafer @GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT Ella daba más cosas! Nonesa bolsa insignificante, para la gran cantidad de dinero que supuestamente están manejando estos indeseables",,"nydiafer, GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",,nydiafer guatemalagob barevalodeleon magaguatemala maynorestradagt daba cosas nonesa bolsa insignificante gran cantidad dinero supuestamente manejando indeseables,,0
totitafuentes,"@Factor4_GT @BArevalodeLeon Pero para exigir justicia por el caso de niños/niñas abusadas por Bruno Campo en la Escuela Municipal de música, ahí nunca se organizaron.",,"Factor4_GT, BArevalodeLeon",,gt barevalodeleon exigir justicia caso niños niñas abusadas bruno campo escuela municipal música ahí nunca organizaron,,0
YumanYumanedgar,"@GuatemalaGob @BArevalodeLeon Mentiroso el tipejo ése!

Este gobierno, sus funcionarios y los diputados independientes, son más bagres que Giammawey, y aparte, estos están plagados de Miguelitos.

Desgracia!",,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon mentiroso tipejo ése gobierno funcionarios diputados independientes bagres giammawey aparte plagados miguelitos desgracia,,0
BatresJulia,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 😡cada día tiene más cara de chucho triste,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon cada día cara chucho triste,😡,1
